,HIERARCHY_LEVEL,CURRENCY,RUN_TYPE,30/06/2022,PHP,IR,CS,VA,SA,INFL,AuM_UL,AuM_AZFR
34,NEMIAN,EUR,LAPSE_LEVEL_DOWN,1051095.0799999982,NET,1051095.0799999982,1051095.0799999982,1051095.0799999982,1051095.0799999982,1051095.0799999982,1051095.0799999982,1051095.0799999982
35,NEMIAN,EUR,LAPSE_MASS,1180710.1400000006,NET,1180710.1400000006,1180710.1400000006,1180710.1400000006,1180710.1400000006,1180710.1400000006,1180710.1400000006,1180710.1400000006
36,NEMIAN,EUR,MAINT_EXP,1531100.9699999988,NET,1531100.9699999988,1531100.9699999988,1531100.9699999988,1531100.9699999988,1531100.9699999988,1531100.9699999988,1531100.9699999988
37,NEMIAN,EUR,MORT_LEVEL_CAT,11251.510000005364,NET,11251.510000005364,11251.510000005364,11251.510000005364,11251.510000005364,11251.510000005364,11251.510000005364,11251.510000005364
38,NEMIAN,EUR,REVISION,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,LXCLA,EUR,MORT_LEVEL_UP,49477.06999999285,NET,49477.06999999285,49477.06999999285,49477.06999999285,49477.06999999285,49477.06999999285,49477.06999999285,49477.06999999285
41,LXCLA,EUR,LONG_LEVEL_DOWN,214214.20999999344,NET,214214.20999999344,214214.20999999344,214214.20999999344,214214.20999999344,214214.20999999344,214214.20999999344,214214.20999999344
42,LXCLA,EUR,MORB_LEVEL_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,LXCLA,EUR,LAPSE_LEVEL_UP,29810.29999999702,NET,29810.29999999702,29810.29999999702,29810.29999999702,29810.29999999702,29810.29999999702,29810.29999999702,29810.29999999702
47,LXCLA,EUR,LAPSE_LEVEL_DOWN,246148.7199999988,NET,246148.7199999988,246148.7199999988,246148.7199999988,246148.7199999988,246148.7199999988,246148.7199999988,246148.7199999988
48,LXCLA,EUR,LAPSE_MASS,744615.1299999952,NET,744615.1299999952,744615.1299999952,744615.1299999952,744615.1299999952,744615.1299999952,744615.1299999952,744615.1299999952
49,LXCLA,EUR,MAINT_EXP,955643.9499999881,NET,955643.9499999881,955643.9499999881,955643.9499999881,955643.9499999881,955643.9499999881,955643.9499999881,955643.9499999881
50,LXCLA,EUR,MORT_LEVEL_CAT,395.5199999958277,NET,395.5199999958277,395.5199999958277,395.5199999958277,395.5199999958277,395.5199999958277,395.5199999958277,395.5199999958277
51,LXCLA,EUR,REVISION,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,LXCLAWOPB,EUR,MORT_LEVEL_UP,57575.64300000016,NET,57575.64300000016,57575.64300000016,57575.64300000016,57575.64300000016,57575.64300000016,57575.64300000016,57575.64300000016
54,LXCLAWOPB,EUR,LONG_LEVEL_DOWN,7811.121999999508,NET,7811.121999999508,7811.121999999508,7811.121999999508,7811.121999999508,7811.121999999508,7811.121999999508,7811.121999999508
55,LXCLAWOPB,EUR,MORB_LEVEL_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,LXCLAWOPB,EUR,LAPSE_LEVEL_UP,14171.726999999955,NET,14171.726999999955,14171.726999999955,14171.726999999955,14171.726999999955,14171.726999999955,14171.726999999955,14171.726999999955
60,LXCLAWOPB,EUR,LAPSE_LEVEL_DOWN,42666.42200000025,NET,42666.42200000025,42666.42200000025,42666.42200000025,42666.42200000025,42666.42200000025,42666.42200000025,42666.42200000025
61,LXCLAWOPB,EUR,LAPSE_MASS,241570.1919999998,NET,241570.1919999998,241570.1919999998,241570.1919999998,241570.1919999998,241570.1919999998,241570.1919999998,241570.1919999998
62,LXCLAWOPB,EUR,MAINT_EXP,313829.6780000003,NET,313829.6780000003,313829.6780000003,313829.6780000003,313829.6780000003,313829.6780000003,313829.6780000003,313829.6780000003
63,LXCLAWOPB,EUR,MORT_LEVEL_CAT,831.0759999994189,NET,831.0759999994189,831.0759999994189,831.0759999994189,831.0759999994189,831.0759999994189,831.0759999994189,831.0759999994189
64,LXCLAWOPB,EUR,REVISION,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,ANN,EUR,MORT_LEVEL_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,ANN,EUR,LONG_LEVEL_DOWN,895213.4499999993,NET,895213.4499999993,895213.4499999993,895213.4499999993,895213.4499999993,895213.4499999993,895213.4499999993,895213.4499999993
68,ANN,EUR,MORB_LEVEL_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,ANN,EUR,LAPSE_LEVEL_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,ANN,EUR,LAPSE_LEVEL_DOWN,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,ANN,EUR,LAPSE_MASS,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,ANN,EUR,MAINT_EXP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,ANN,EUR,MORT_LEVEL_CAT,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,ANN,EUR,REVISION,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,CDFIN,EUR,MORT_LEVEL_UP,5809.260000005364,NET,5809.260000005364,5809.260000005364,5809.260000005364,5809.260000005364,5809.260000005364,5809.260000005364,5809.260000005364
80,CDFIN,EUR,LONG_LEVEL_DOWN,19242.840000003576,NET,19242.840000003576,19242.840000003576,19242.840000003576,19242.840000003576,19242.840000003576,19242.840000003576,19242.840000003576
81,CDFIN,EUR,MORB_LEVEL_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,CDFIN,EUR,LAPSE_LEVEL_UP,455106.59999999404,NET,455106.59999999404,455106.59999999404,455106.59999999404,455106.59999999404,455106.59999999404,455106.59999999404,455106.59999999404
86,CDFIN,EUR,LAPSE_LEVEL_DOWN,1794457.049999997,NET,1794457.049999997,1794457.049999997,1794457.049999997,1794457.049999997,1794457.049999997,1794457.049999997,1794457.049999997
87,CDFIN,EUR,LAPSE_MASS,642425.2300000042,NET,642425.2300000042,642425.2300000042,642425.2300000042,642425.2300000042,642425.2300000042,642425.2300000042,642425.2300000042
88,CDFIN,EUR,MAINT_EXP,1192818.1899999976,NET,1192818.1899999976,1192818.1899999976,1192818.1899999976,1192818.1899999976,1192818.1899999976,1192818.1899999976,1192818.1899999976
89,CDFIN,EUR,MORT_LEVEL_CAT,2728.9599999934435,NET,2728.9599999934435,2728.9599999934435,2728.9599999934435,2728.9599999934435,2728.9599999934435,2728.9599999934435,2728.9599999934435
90,CDFIN,EUR,REVISION,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,LXEUR,EUR,MORT_LEVEL_UP,6342.05000000447,NET,6342.05000000447,6342.05000000447,6342.05000000447,6342.05000000447,6342.05000000447,6342.05000000447,6342.05000000447
93,LXEUR,EUR,LONG_LEVEL_DOWN,29861.530000001192,NET,29861.530000001192,29861.530000001192,29861.530000001192,29861.530000001192,29861.530000001192,29861.530000001192,29861.530000001192
94,LXEUR,EUR,MORB_LEVEL_UP,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,LXEUR,EUR,LAPSE_LEVEL_UP,107314.06000000238,NET,107314.06000000238,107314.06000000238,107314.06000000238,107314.06000000238,107314.06000000238,107314.06000000238,107314.06000000238
99,LXEUR,EUR,LAPSE_LEVEL_DOWN,1299371.960000001,NET,1299371.960000001,1299371.960000001,1299371.960000001,1299371.960000001,1299371.960000001,1299371.960000001,1299371.960000001
100,LXEUR,EUR,LAPSE_MASS,94712.38000000268,NET,94712.38000000268,94712.38000000268,94712.38000000268,94712.38000000268,94712.38000000268,94712.38000000268,94712.38000000268
101,LXEUR,EUR,MAINT_EXP,594096.0799999982,NET,594096.0799999982,594096.0799999982,594096.0799999982,594096.0799999982,594096.0799999982,594096.0799999982,594096.0799999982
102,LXEUR,EUR,MORT_LEVEL_CAT,254.8800000026822,NET,254.8800000026822,254.8800000026822,254.8800000026822,254.8800000026822,254.8800000026822,254.8800000026822,254.8800000026822
103,LXEUR,EUR,REVISION,0.0,NET,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,UL,EUR,MORT_LEVEL_UP,1822388.0,GROSS,1822388.0,1822388.0,1822388.0,1822388.0,1822388.0,1822388.0,1822388.0
106,UL,EUR,LONG_LEVEL_DOWN,419832.0,GROSS,419832.0,419832.0,419832.0,419832.0,419832.0,419832.0,419832.0
107,UL,EUR,MORB_LEVEL_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,UL,EUR,LAPSE_LEVEL_UP,22024330.0,GROSS,22024330.0,22024330.0,22024330.0,22024330.0,22024330.0,20976390.14988373,20976390.14988373
112,UL,EUR,LAPSE_LEVEL_DOWN,17497541.0,GROSS,17497541.0,17497541.0,17497541.0,17497541.0,17497541.0,16664990.33930143,16664990.33930143
113,UL,EUR,LAPSE_MASS,36771840.0,GROSS,36771840.0,36771840.0,36771840.0,36771840.0,36771840.0,35022198.73971651,35022198.73971651
114,UL,EUR,MAINT_EXP,12871398.0,GROSS,12871398.0,12871398.0,12871398.0,12871398.0,12871398.0,12871398.0,12871398.0
115,UL,EUR,MORT_LEVEL_CAT,118127.0,GROSS,118127.0,118127.0,118127.0,118127.0,118127.0,118127.0,118127.0
116,UL,EUR,REVISION,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,AZFR,EUR,MORT_LEVEL_UP,5485110.8000000715,GROSS,5485110.8000000715,5485110.8000000715,5485110.8000000715,5485110.8000000715,5485110.8000000715,5485110.8000000715,5485110.8000000715
119,AZFR,EUR,LONG_LEVEL_DOWN,23013.800000071526,GROSS,23013.800000071526,23013.800000071526,23013.800000071526,23013.800000071526,23013.800000071526,23013.800000071526,23013.800000071526
120,AZFR,EUR,MORB_LEVEL_UP,0.0,GROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
